Instances,Run time,Objective value,Explored node,Gap,EPIs

sol_map100_N15_K3_run4	54.00	547.52 	370288 	0.0000	0 	1.605958 	14.5392	27.2008
sol_map100_N15_K3_run5	1.44	579.99 	6287 	0.0000	0 	0.000000 	0.0000	10.1372
sol_map100_N15_K3_run6	5.75	540.37 	50474 	0.0000	0 	0.000000 	7.9109	23.4286
sol_map100_N15_K3_run7	17.10	549.04 	152724 	0.0000	0 	0.000000 	7.2599	23.6764
sol_map100_N15_K3_run8	2.83	563.23 	13398 	0.0000	0 	0.000000 	3.3237	17.1651
sol_map100_N15_K3_run9	3.10	555.22 	15973 	0.0000	0 	0.000000 	6.4417	22.4249
sol_map100_N15_K3_run10	3.20	548.68 	23687 	0.0001	0 	0.000000 	8.9702	21.5975
sol_map100_N15_K3_run11	3.86	548.58 	27564 	0.0000	0 	0.000000 	8.2691	22.7074
sol_map100_N15_K3_run12	4.43	560.85 	37283 	0.0000	0 	0.000000 	9.9337	23.6401
sol_map100_N15_K3_run13	17.25	531.79 	107016 	0.0000	0 	0.000000 	0.0000	16.2407
sol_map100_N15_K3_run14	50.06	542.64 	231282 	0.0000	0 	2.788752 	11.7216	26.5458
sol_map100_N15_K3_run15	5.56	606.44 	63728 	0.0000	0 	0.000000 	51.5243	39.4642
sol_map100_N15_K3_run16	3.29	545.54 	27194 	0.0000	0 	0.000000 	10.7353	24.5268
sol_map100_N15_K3_run17	11.94	556.25 	76963 	0.0000	0 	0.000000 	15.2812	29.0834
sol_map100_N15_K3_run18	3.38	549.04 	30006 	0.0000	0 	0.000000 	22.6437	31.7128
sol_map100_N15_K3_run19	2.79	577.75 	20882 	0.0000	0 	0.000000 	6.1329	19.7621
sol_map100_N15_K3_run20	9.10	539.37 	64224 	0.0000	0 	0.000000 	3.0464	19.6955
sol_map100_N15_K3_run21	0.44	555.02 	241 	0.0000	0 	0.391222 	1.1067	19.4867
sol_map100_N15_K3_run22	0.28	550.46 	590 	0.0000	0 	0.000000 	4.1292	20.2737
sol_map100_N15_K3_run23	0.76	535.36 	1434 	0.0000	0 	2.100431 	4.1967	21.0834
sol_map100_N15_K3_run24	4.44	552.12 	29110 	0.0000	0 	3.201391 	3.4792	20.2564
sol_map100_N15_K3_run25	1.00	538.03 	7236 	0.0000	0 	0.778007 	2.2392	19.3593
